Match_ID,Season,Match_Date,Home_Team,Away_Team,Venue_City,Home_Formation,Away_Formation,Home_Indian_Player_Rating_Avg,Home_Foreign_Player_Rating_Avg,Away_Indian_Player_Rating_Avg,Away_Foreign_Player_Rating_Avg,Home_Squad_Market_Value_Cr,Home_Foreign_Player_Market_Value_Cr,Away_Squad_Market_Value_Cr,Away_Foreign_Player_Market_Value_Cr,Home_Foreign_Clearances_Tackles,Home_Indian_Clearances_Tackles,Away_Foreign_Clearances_Tackles,Away_Indian_Clearances_Tackles,Home_Foreign_Big_Chances_Created,Home_Indian_Big_Chances_Created,Away_Foreign_Big_Chances_Created,Away_Indian_Big_Chances_Created,Home_Foreign_Big_Chances_Missed,Home_Indian_Big_Chances_Missed,Away_Foreign_Big_Chances_Missed,Away_Indian_Big_Chances_Missed,Home_Foreign_Interception_Rate,Home_Indian_Interception_Rate,Away_Foreign_Interception_Rate,Away_Indian_Interception_Rate,Home_Injury_Count,Away_Injury_Count,Weather_Condition,Pitch_Condition,Match_Condition,Home_Fatigue_Index,Away_Fatigue_Index,Home_Team_Chemistry_Score,Away_Team_Chemistry_Score,H2H_Home_Wins_Last5,H2H_Away_Wins_Last5,Referee_Strictness_Index,Home_Recent_Form_Pts,Away_Recent_Form_Pts,Home_Set_Piece_Conversion_Pct,Away_Set_Piece_Conversion_Pct,Key_Player_Missing_Side,Home_Foreign_Player_Ratio,Away_Foreign_Player_Ratio,Market_Value_Difference,Market_Value_Ratio,Foreign_Market_Value_Difference,Indian_Market_Value_Difference,Indian_Rating_Difference,Foreign_Rating_Difference,Overall_Rating_Difference,Fatigue_Difference,Chemistry_Difference,Form_Difference,H2H_Wins_Difference,Set_Piece_Conversion_Diff,Foreign_Player_Ratio_Diff,Injury_Count_Diff,Clearance_Tackle_Foreign_Diff,Clearance_Tackle_Indian_Diff,Big_Chance_Created_Foreign_Diff,Big_Chance_Created_Indian_Diff,Big_Chance_Missed_Foreign_Diff,Big_Chance_Missed_Indian_Diff,Interception_Rate_Foreign_Diff,Interception_Rate_Indian_Diff,Home_Historical_Win_Rate,Away_Historical_Win_Rate,Historical_Win_Rate_Diff,Home_Venue_Win_Rate,Away_Venue_Win_Rate,Home_Rolling_Goal_Diff,Away_Rolling_Goal_Diff,Rolling_Goal_Diff_Differential,H2H_Prior_Home_Win_Rate,H2H_Prior_Draw_Rate,H2H_Prior_Away_Win_Rate,Home_Days_Rest,Away_Days_Rest,Days_Rest_Diff,Match_Result
ISL00001,2015-16,2015-10-02,ATK Mohun Bagan,Kerala Blasters,Kolkata,4-4-2,3-5-2,6.72,7.49,7.71,6.96,42.2,19.8,64.0,44.4,8,11,9,11,5,2,3,1,5,2,4,2,36.9,43.7,34.5,35.6,0,2,Overcast,Good,Night,1.8,1.8,7.92,7.29,0,0,4.9,0,0,12.3,20.3,,0.33,0.36,-21.799999999999997,0.6593748969726724,-24.599999999999998,2.8000000000000007,-0.9900000000000002,0.5300000000000002,-0.22999999999999954,0.0,0.6299999999999999,0,0,-8.0,-0.02999999999999997,-2,-1,0,2,1,1,0,2.3999999999999986,8.100000000000001,0.35,0.35,0.0,0.4,0.3,0.0,0.0,0.0,0.4,0.28,0.32,7,7,0,Draw
ISL00002,2015-16,2015-10-07,Kerala Blasters,FC Goa,Kochi,3-4-3,3-5-2,6.48,6.29,6.27,6.42,46.6,30.1,52.0,23.6,11,15,8,11,0,2,2,1,0,4,3,1,27.4,31.7,16.9,20.2,2,1,Humid,Good,Night,8.6,6.2,8.07,6.42,0,0,3.8,1,0,13.1,23.2,,0.43,0.48,-5.399999999999999,0.8961536738166012,6.5,-11.899999999999999,0.21000000000000085,-0.1299999999999999,0.040000000000000036,2.3999999999999995,1.6500000000000004,1,0,-10.1,-0.04999999999999999,1,3,4,-2,1,-3,3,10.5,11.5,0.0,0.35,-0.35,0.4,0.3,0.0,0.0,0.0,0.4,0.28,0.32,5,7,-2,Away_Win
ISL00003,2015-16,2015-10-07,Odisha FC,East Bengal FC,Bhubaneswar,4-2-3-1,4-3-3,6.62,5.51,7.01,6.86,41.5,23.2,50.4,23.3,4,9,13,17,0,2,0,0,1,2,0,0,42.7,47.0,43.7,20.0,1,1,Rainy,Good,Night,9.7,9.6,6.8,6.98,0,0,3.7,0,0,12.1,5.9,,0.42,0.4,-8.899999999999999,0.8234125350371954,-0.10000000000000142,-8.799999999999997,-0.3899999999999997,-1.3500000000000005,-0.870000000000001,0.09999999999999964,-0.1800000000000006,0,0,6.199999999999999,0.019999999999999962,0,-9,-8,0,2,1,2,-1.0,27.0,0.35,0.35,0.0,0.4,0.3,0.0,0.0,0.0,0.4,0.28,0.32,7,7,0,Away_Win
ISL00004,2015-16,2015-10-08,Punjab FC,Jamshedpur FC,Mohali,5-3-2,3-5-2,6.61,7.59,6.06,7.24,60.7,38.3,25.7,14.7,11,16,9,18,1,1,2,1,2,3,2,1,29.6,50.3,18.7,53.5,0,3,Overcast,Average,Night,3.5,7.3,7.22,7.74,0,0,1.8,0,0,9.0,27.5,Away,0.42,0.3,35.0,2.3618667852658426,23.599999999999998,11.400000000000006,0.5500000000000007,0.34999999999999964,0.4499999999999993,-3.8,-0.5200000000000005,0,0,-18.5,0.12,-3,2,-2,-1,0,0,2,10.900000000000002,-3.200000000000003,0.35,0.35,0.0,0.4,0.3,0.0,0.0,0.0,0.4,0.28,0.32,7,7,0,Away_Win
ISL00005,2015-16,2015-10-09,Odisha FC,NorthEast United FC,Bhubaneswar,4-3-3,4-3-3,7.23,7.38,6.76,6.59,26.8,18.6,39.6,23.6,13,15,6,19,2,0,2,1,2,1,2,1,47.4,31.1,38.3,22.9,0,3,Overcast,Good,Night,1.0,6.2,8.03,8.27,0,0,7.7,0,0,22.4,22.6,,0.37,0.36,-12.8,0.6767675058667914,-5.0,-7.800000000000001,0.47000000000000064,0.79,0.6299999999999999,-5.2,-0.2400000000000002,0,0,-0.20000000000000284,0.010000000000000009,-3,7,-4,0,-1,0,0,9.100000000000001,8.200000000000003,0.0,0.35,-0.35,0.0,0.3,-2.0,0.0,-2.0,0.4,0.28,0.32,2,7,-5,Home_Win
ISL00006,2015-16,2015-10-12,ATK Mohun Bagan,Mumbai City FC,Kolkata,4-3-3,3-4-3,7.32,6.38,6.6,6.82,37.2,21.7,66.2,29.9,7,14,9,15,4,0,1,3,5,0,1,4,35.7,23.3,52.4,53.6,1,3,Humid,Good,Night,4.2,2.5,7.49,8.52,0,0,1.1,1,0,7.9,6.2,Home,0.31,0.47,-29.0,0.5619334498589955,-8.2,-20.8,0.7200000000000006,-0.4400000000000004,0.13999999999999968,1.7000000000000002,-1.0299999999999994,1,0,1.7000000000000002,-0.15999999999999998,-2,-2,-1,3,-3,4,-4,-16.699999999999996,-30.3,0.0,0.35,-0.35,0.0,0.3,0.0,0.0,0.0,0.4,0.28,0.32,10,7,3,Home_Win
ISL00007,2015-16,2015-10-12,Odisha FC,FC Goa,Bhubaneswar,4-4-2,4-2-3-1,6.92,7.63,6.52,6.73,40.7,23.4,56.4,28.0,12,8,16,10,1,1,2,0,1,1,3,0,27.5,51.9,23.8,51.3,3,0,Overcast,Good,Night,7.5,8.1,8.74,6.97,0,0,4.3,3,3,24.4,13.5,,0.49,0.47,-15.699999999999996,0.7216310777249862,-4.600000000000001,-11.099999999999994,0.40000000000000036,0.8999999999999995,0.6500000000000004,-0.5999999999999996,1.7700000000000005,0,0,10.899999999999999,0.020000000000000018,3,-4,-2,-1,1,-2,1,3.6999999999999993,0.6000000000000014,0.5,1.0,-0.5,0.5,1.0,0.0,1.0,-1.0,0.4,0.28,0.32,3,5,-2,Draw
ISL00008,2015-16,2015-10-18,Hyderabad FC,Jamshedpur FC,Hyderabad,3-5-2,5-3-2,7.32,7.79,6.51,6.7,61.3,28.7,20.6,9.7,14,14,8,12,1,0,3,1,2,0,4,2,44.6,19.2,37.0,52.3,1,1,Clear,Good,Night,4.7,0.6,8.88,8.53,0,0,6.3,0,3,29.1,14.4,,0.36,0.47,40.699999999999996,2.975726710812276,19.0,21.699999999999992,0.8100000000000005,1.0899999999999999,0.9499999999999993,4.1000000000000005,0.3500000000000014,-3,0,14.700000000000001,-0.10999999999999999,0,6,2,-2,-1,-2,-2,7.600000000000001,-33.099999999999994,0.35,1.0,-0.65,0.4,1.0,0.0,1.0,-1.0,0.4,0.28,0.32,7,10,-3,Home_Win
ISL00009,2015-16,2015-10-19,Mumbai City FC,East Bengal FC,Mumbai,5-3-2,3-5-2,6.14,7.3,6.75,7.27,48.3,25.0,15.6,8.0,4,8,8,11,1,1,3,0,2,4,4,0,39.9,21.7,22.7,23.6,0,0,Rainy,Poor,Day,8.6,8.1,5.92,8.82,0,0,9.5,0,3,26.2,11.2,,0.39,0.33,32.699999999999996,3.0961518614411143,17.0,15.699999999999998,-0.6100000000000003,0.03000000000000025,-0.29000000000000004,0.5,-2.9000000000000004,-3,0,15.0,0.06,0,-4,-3,-2,1,-2,4,17.2,-1.9000000000000021,0.0,1.0,-1.0,0.4,1.0,-1.0,2.0,-3.0,0.4,0.28,0.32,7,12,-5,Draw
ISL00010,2015-16,2015-10-21,Odisha FC,Bengaluru FC,Bhubaneswar,4-2-3-1,4-4-2,5.94,7.03,6.75,6.44,50.9,29.3,54.0,26.8,11,7,10,11,0,1,4,1,1,1,5,2,25.2,35.6,44.9,54.2,2,0,Rainy,Average,Night,0.4,1.7,6.65,6.02,0,0,1.8,4,0,8.0,16.5,Both,0.34,0.37,-3.1000000000000014,0.9425924180384411,2.5,-5.600000000000001,-0.8099999999999996,0.5899999999999999,-0.11000000000000032,-1.2999999999999998,0.6300000000000008,4,0,-8.5,-0.02999999999999997,2,1,-4,-4,0,-4,-1,-19.7,-18.6,0.3333,0.35,-0.016699999999999993,0.3333,0.3,0.0,0.0,0.0,0.4,0.28,0.32,9,7,2,Draw
