Match_ID,Season,Match_Date,Home_Team,Away_Team,Venue_City,Home_Formation,Away_Formation,Home_Possession_Pct,Away_Possession_Pct,Home_Shots_On_Target,Away_Shots_On_Target,Home_Goals,Away_Goals,Home_Foreign_Goal_Contribution,Home_Indian_Goal_Contribution,Away_Foreign_Goal_Contribution,Away_Indian_Goal_Contribution,Home_Corners,Away_Corners,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Indian_Player_Rating_Avg,Home_Foreign_Player_Rating_Avg,Away_Indian_Player_Rating_Avg,Away_Foreign_Player_Rating_Avg,Home_Squad_Market_Value_Cr,Home_Foreign_Player_Market_Value_Cr,Away_Squad_Market_Value_Cr,Away_Foreign_Player_Market_Value_Cr,Home_Foreign_Clearances_Tackles,Home_Indian_Clearances_Tackles,Away_Foreign_Clearances_Tackles,Away_Indian_Clearances_Tackles,Home_Foreign_Big_Chances_Created,Home_Indian_Big_Chances_Created,Away_Foreign_Big_Chances_Created,Away_Indian_Big_Chances_Created,Home_Foreign_Big_Chances_Missed,Home_Indian_Big_Chances_Missed,Away_Foreign_Big_Chances_Missed,Away_Indian_Big_Chances_Missed,Home_Foreign_Interception_Rate,Home_Indian_Interception_Rate,Away_Foreign_Interception_Rate,Away_Indian_Interception_Rate,Home_Injury_Count,Away_Injury_Count,Weather_Condition,Pitch_Condition,Match_Condition,Home_Fatigue_Index,Away_Fatigue_Index,Home_Team_Chemistry_Score,Away_Team_Chemistry_Score,H2H_Home_Wins_Last5,H2H_Away_Wins_Last5,Referee_Strictness_Index,Home_Recent_Form_Pts,Away_Recent_Form_Pts,Home_Set_Piece_Conversion_Pct,Away_Set_Piece_Conversion_Pct,Key_Player_Missing_Side,Home_Foreign_Player_Ratio,Away_Foreign_Player_Ratio,Match_Result,Home_Points,Away_Points
ISL00001,2015-16,2015-10-02,ATK Mohun Bagan,Kerala Blasters,Kolkata,4-4-2,3-5-2,54.0,46.0,4,5,1,1,0,1,0,1,4,6,6,1,0,0,6.72,7.49,7.71,6.96,42.2,19.8,64.0,44.4,8,11,9,11,5,2,3,1,5,2,4,2,36.9,43.7,34.5,35.6,0,2,Overcast,Good,Night,1.8,1.8,7.92,7.29,0,0,4.9,0,0,12.3,20.3,,0.33,0.36,Draw,1,1
ISL00002,2015-16,2015-10-07,Kerala Blasters,FC Goa,Kochi,3-4-3,3-5-2,56.2,43.8,4,2,1,2,1,0,1,1,6,2,5,4,0,0,6.48,6.29,6.27,6.42,46.6,30.1,52.0,23.6,11,15,8,11,0,2,2,1,0,4,3,1,27.4,31.7,16.9,20.2,2,1,Humid,Good,Night,8.6,6.2,8.07,6.42,0,0,3.8,1,0,13.1,23.2,,0.43,0.48,Away_Win,0,3
ISL00003,2015-16,2015-10-07,Odisha FC,East Bengal FC,Bhubaneswar,4-2-3-1,4-3-3,60.2,39.8,3,8,0,2,0,0,2,0,3,2,2,2,0,0,6.62,5.51,7.01,6.86,41.5,23.2,50.4,23.3,4,9,13,17,0,2,0,0,1,2,0,0,42.7,47.0,43.7,20.0,1,1,Rainy,Good,Night,9.7,9.6,6.8,6.98,0,0,3.7,0,0,12.1,5.9,,0.42,0.4,Away_Win,0,3
ISL00004,2015-16,2015-10-08,Punjab FC,Jamshedpur FC,Mohali,5-3-2,3-5-2,43.7,56.3,4,8,0,1,0,0,1,0,6,6,0,1,0,0,6.61,7.59,6.06,7.24,60.7,38.3,25.7,14.7,11,16,9,18,1,1,2,1,2,3,2,1,29.6,50.3,18.7,53.5,0,3,Overcast,Average,Night,3.5,7.3,7.22,7.74,0,0,1.8,0,0,9.0,27.5,Away,0.42,0.3,Away_Win,0,3
ISL00005,2015-16,2015-10-09,Odisha FC,NorthEast United FC,Bhubaneswar,4-3-3,4-3-3,48.2,51.8,6,4,5,3,2,3,2,1,5,2,5,2,0,0,7.23,7.38,6.76,6.59,26.8,18.6,39.6,23.6,13,15,6,19,2,0,2,1,2,1,2,1,47.4,31.1,38.3,22.9,0,3,Overcast,Good,Night,1.0,6.2,8.03,8.27,0,0,7.7,0,0,22.4,22.6,,0.37,0.36,Home_Win,3,0
ISL00006,2015-16,2015-10-12,ATK Mohun Bagan,Mumbai City FC,Kolkata,4-3-3,3-4-3,54.0,46.0,5,6,2,1,2,0,1,0,4,8,0,0,0,0,7.32,6.38,6.6,6.82,37.2,21.7,66.2,29.9,7,14,9,15,4,0,1,3,5,0,1,4,35.7,23.3,52.4,53.6,1,3,Humid,Good,Night,4.2,2.5,7.49,8.52,0,0,1.1,1,0,7.9,6.2,Home,0.31,0.47,Home_Win,3,0
ISL00007,2015-16,2015-10-12,Odisha FC,FC Goa,Bhubaneswar,4-4-2,4-2-3-1,46.1,53.9,4,12,3,3,0,3,2,1,4,2,2,0,0,0,6.92,7.63,6.52,6.73,40.7,23.4,56.4,28.0,12,8,16,10,1,1,2,0,1,1,3,0,27.5,51.9,23.8,51.3,3,0,Overcast,Good,Night,7.5,8.1,8.74,6.97,0,0,4.3,3,3,24.4,13.5,,0.49,0.47,Draw,1,1
ISL00008,2015-16,2015-10-18,Hyderabad FC,Jamshedpur FC,Hyderabad,3-5-2,5-3-2,54.5,45.5,9,4,2,1,2,0,0,1,6,6,3,8,0,0,7.32,7.79,6.51,6.7,61.3,28.7,20.6,9.7,14,14,8,12,1,0,3,1,2,0,4,2,44.6,19.2,37.0,52.3,1,1,Clear,Good,Night,4.7,0.6,8.88,8.53,0,0,6.3,0,3,29.1,14.4,,0.36,0.47,Home_Win,3,0
ISL00009,2015-16,2015-10-19,Mumbai City FC,East Bengal FC,Mumbai,5-3-2,3-5-2,52.4,47.6,9,3,2,2,1,1,1,1,3,6,5,3,1,0,6.14,7.3,6.75,7.27,48.3,25.0,15.6,8.0,4,8,8,11,1,1,3,0,2,4,4,0,39.9,21.7,22.7,23.6,0,0,Rainy,Poor,Day,8.6,8.1,5.92,8.82,0,0,9.5,0,3,26.2,11.2,,0.39,0.33,Draw,1,1
ISL00010,2015-16,2015-10-21,Odisha FC,Bengaluru FC,Bhubaneswar,4-2-3-1,4-4-2,59.0,41.0,6,7,2,2,0,2,2,0,5,4,0,1,0,0,5.94,7.03,6.75,6.44,50.9,29.3,54.0,26.8,11,7,10,11,0,1,4,1,1,1,5,2,25.2,35.6,44.9,54.2,2,0,Rainy,Average,Night,0.4,1.7,6.65,6.02,0,0,1.8,4,0,8.0,16.5,Both,0.34,0.37,Draw,1,1
